"ID","NOMBRE","LINK","DESCRIPCION","SERIES"
"11","Military Anime","https://myanimelist.net/anime/genre/38/Military","Descripcion generica","705"
"12","Horror Anime","https://myanimelist.net/anime/genre/14/Horror","Creating—and maintaining—a sense of dread in the audience takes priority, eliciting shock, fear, or disgust through atmosphere and frightening scenarios. Mood must be of equal or greater importance than setting and characterization in horror stories. Almost always, the main cast will be under constant threat of danger.  Many stories can incorporate elements of horror as a plot device to unnerve the audience, but the overarching narrative must be focused on evoking and maintaining apprehension to be Horror. Contrast with Suspense where the audience craves to know what will happen next rather than fearing it.","547"
"13","Adult Cast Anime","https://myanimelist.net/anime/genre/50/Adult_Cast","Descripcion generica","588"
"14","Gore Anime","https://myanimelist.net/anime/genre/58/Gore","Descripcion generica","257"
"15","Seinen Anime","https://myanimelist.net/anime/genre/42/Seinen","Descripcion generica","1004"
"16","Super Power Anime","https://myanimelist.net/anime/genre/31/Super_Power","Descripcion generica","705"
"17","Comedy Anime","https://myanimelist.net/anime/genre/4/Comedy","Uplifting the audience with positive emotion takes priority, eliciting laughter, amusement, or general entertainment. Almost always, comedy stories are episodic or have happy endings.  Nearly every work will use comedy as a plot device to relieve tension, but the overarching narrative must be focused on evoking amusement to be Comedy. Drama and Comedy are not mutually exclusive, but mixing them requires the audience facing human struggle with lightheartedness. Slice of Life and Comedy are incompatible by definition.","7225"
"18","Delinquents Anime","https://myanimelist.net/anime/genre/55/Delinquents","Descripcion generica","70"
"19","Mythology Anime","https://myanimelist.net/anime/genre/6/Mythology","Descripcion generica","643"
"20","Ecchi Anime","https://myanimelist.net/anime/genre/9/Ecchi","Descripcion generica","794"
"21","Harem Anime","https://myanimelist.net/anime/genre/35/Harem","Descripcion generica","464"
"22","School Anime","https://myanimelist.net/anime/genre/23/School","Descripcion generica","2021"
"23","Love Polygon Anime","https://myanimelist.net/anime/genre/64/Love_Polygon","Descripcion generica","90"
"24","Shoujo Anime","https://myanimelist.net/anime/genre/25/Shoujo","Descripcion generica","478"
"25","Psychological Anime","https://myanimelist.net/anime/genre/40/Psychological","Descripcion generica","424"
"26","Reverse Harem Anime","https://myanimelist.net/anime/genre/73/Reverse_Harem","Descripcion generica","76"
"27","Josei Anime","https://myanimelist.net/anime/genre/43/Josei","Descripcion generica","154"
"28","Sci-Fi Anime","https://myanimelist.net/anime/genre/24/Sci-Fi","Imagined technological advancements or natural settings which are currently unreal in the present day but could be invented, caused, or explained by science in the future. The narrative of science fiction (Sci-Fi or SF) stories focuses on the societal or individual reprecussions caused by the imagined technology or natural phenomenon, and are frequently dystopian in nature.  Sufficient world-building is required for a work to be Sci-Fi; an alien simply visiting from outer space and living on Earth with unusual powers would be Supernatural. Characters in Sci-Fi stories can have unnatural powers without a Fantasy/Supernatural tag, but there should be a plausible scientific reason for these powers described by the creator. A futuristic setting with impossible, unexplained powers (e.g. humans randomly evolved to control the weather via thought) would be Fantasy.","3218"
"29","Detective Anime","https://myanimelist.net/anime/genre/39/Detective","A theme within the Mystery genre, these stories feature either a detective or amateur investigator working to solve a crime or puzzling event. To classify as Detective, the character must either by employed as an investigator (e.g. police officer, private detective) or be sought out by enforcement/clients because of their case-solving reputation (e.g. Sherlock). If the character only seeks out mysteries as a hobby or becomes embroiled in them randomly, then the Detective theme does not apply. Anti-heroes being pursued by enforcement is not Detective.","310"
"30","Organized Crime Anime","https://myanimelist.net/anime/genre/68/Organized_Crime","Descripcion generica","86"
"31","Space Anime","https://myanimelist.net/anime/genre/29/Space","Descripcion generica","623"
"32","Award Winning Anime","https://myanimelist.net/anime/genre/46/Award_Winning","Titles which have won prestigious or professional awards in Japan. Examples include the Tokyo Anime Award or Japan Media Arts Festival awards.","241"
"33","Survival Anime","https://myanimelist.net/anime/genre/76/Survival","Descripcion generica","93"
"34","CGDCT Anime","https://myanimelist.net/anime/genre/52/CGDCT","Descripcion generica","235"
"35","Samurai Anime","https://myanimelist.net/anime/genre/21/Samurai","Descripcion generica","235"
"36","Gag Humor Anime","https://myanimelist.net/anime/genre/57/Gag_Humor","Descripcion generica","241"
"37","Boys Love Anime","https://myanimelist.net/anime/genre/28/Boys_Love","Same-sex romantic/sexual relationships between men are the focus of these stories.  The term Boys Love and its abbreviation BL are commonly used to refer media written by women for female audiences in Japan, while the term Bara is often used for media written by men for male audiences. In the West, the terms Shounen Ai (romantic/non-sexual) and Yaoi (sexual) are more commonly used for BL.  On MAL, Boys Love combines all homosexual relationships between men and explicit genres (Ecchi, Erotica, Hentai) are used to indicate the sexual content level. This means most Shounen Ai stories have no explicit genres, most Yaoi are labelled Ecchi or Erotica, and most Bara are labelled Hentai.","175"
"38","Music Anime","https://myanimelist.net/anime/genre/19/Music","Descripcion generica","4188"
"39","Parody Anime","https://myanimelist.net/anime/genre/20/Parody","Descripcion generica","758"
"40","Anthropomorphic Anime","https://myanimelist.net/anime/genre/51/Anthropomorphic","Descripcion generica","947"
"41","Hentai Anime","https://myanimelist.net/anime/genre/12/Hentai","Descripcion generica","1506"
"42","Crossdressing Anime","https://myanimelist.net/anime/genre/81/Crossdressing","One or more main characters in these stories identify as their biological sex, but routinely dress in a way that results in them being mistaken for the opposite sex. Since the act of crossdressing must be a central theme, often the main character is trying to hide their identity or achieve some goal. If the character simply enjoys crossdressing, the narrative should be focused on how the important people in the character's life react to or come to accept it.  One main character dressing as the opposite sex for reasons unrelated to the central plot is not Crossdressing.","48"
"43","Kids Anime","https://myanimelist.net/anime/genre/15/Kids","Descripcion generica","6382"
"44","Childcare Anime","https://myanimelist.net/anime/genre/53/Childcare","Descripcion generica","69"
